2D Materials;2D Mater.
Advances in Anatomy Embryology and Cell Biology;Adv. Anat. Embyrol. Cell Biol.
Advances in Applied Ceramics;Adv. Appl. Ceram.
Advances in Applied Clifford Algebras;Adv. Appl. Clifford Algebr.
ADVANCES IN APPLIED MATHEMATICS;Adv. Appl. Math.
Advances in Applied Mathematics and Mechanics;Adv. Appl. Math. Mech.
Advances in Applied Mechanics;Adv. Appl. Mech.
Advances in Applied Microbiology;Adv. Appl. Microbiol.
ADVANCES IN APPLIED PROBABILITY;Adv. Appl. Probab.
Advances in Archaeological Practice;Adv. Archaeol. Pract.
Advances in Astronomy;Adv. Astron.
Advances in Astronomy and Space Physics;Adv. Astron. Space Phys.
ADVANCES IN ATMOSPHERIC SCIENCES;Adv. Atmos. Sci.
Advances In Atomic Molecular and Optical Physics;Adv. Atom. Mol. Opt. Phys.
Advances in Autism;Adv. Autism
Advances in Biochemical Engineering-Biotechnology;Adv. Biochem. Eng. Biotechnol.
Advances in Botanical Research;Adv. Bot. Res.
Advances in Building Energy Research;Adv. Build. Energy Res.
Advances in Calculus of Variations;Adv. Calc. Var.
Advances in Cancer Research;Adv.Cancer Res.
Advances in Carbohydrate Chemistry and Biochemistry;Adv. Carbohydr .Chem. Biochem.
Advances in Catalysis;Adv. Catal.
ADVANCES IN CEMENT RESEARCH;Adv. Cem. Res.
Advances in Chemical Physics;Adv. Chem. Phys.
Advances in Child Development and Behavior;Adv. Child Develop. Behav.
ADVANCES IN CHRONIC KIDNEY DISEASE;Adv. Chronic Kidney Dis.
Advances in Civil Engineering;Adv. Civ. Eng.
Advances in Civil Engineering Materials;Adv. Civ. Eng. Mater.
Advances in Climate Change Research;Adv. Clim. Chang. Res.
Advances in Clinical and Experimental Medicine;Adv. Clin. Exp. Med.
Advances in Clinical Chemistry;Advan. Clin. Chem.
Advances in Cognitive Psychology;Adv. Cogn. Psychol.
ADVANCES IN COLLOID AND INTERFACE SCIENCE;Adv. Colloid Interface Sci.
ADVANCES IN COMPLEX SYSTEMS;Adv. Complex Syst.
Advances in Computational Design;Adv. Comput. Des.
ADVANCES IN COMPUTATIONAL MATHEMATICS;Adv. Comput. Math.
Advances in Computers;Adv. Comput.
Advances in Concrete Construction;Adv. Concr. Constr.
Advances in Condensed Matter Physics;Adv. Condens. Matter Phys.
Advances in Data Analysis and Classification;Adv. Data Anal. Classif.
Advances in Data Science and Adaptive Analysis;Adv. Data Sci. Adapt. Anal.
Advances in Developing Human Resources;Adv. Dev. Hum. Resour.
Advances in Difference Equations;Adv. Differ. Equ.
Advances in Differential Equations;Adv. Differ. Equat.
Advances in Differential Equations and Control Processes;Adv. Differ. Equ. Control Process.
Advances in Digestive Medicine;Adv. Dig. Med.
Advances in Dual Diagnosis;Adv. Dual Diagn.
Advances in Ecological Research;Adv. Ecol. Res.
Advances in Electrical and Computer Engineering;Adv. Electr. Comput. Eng.
Advances in Electrical and Electronic Engineering;Adv. Electr. Electron. Eng.
ADVANCES IN ENGINEERING SOFTWARE;Adv. Eng. Softw.
Advances in Environmental Research-An International Journal;Ad. Environ. Res.
Advances in Experimental Medicine and Biology;Adv.Exp.Med.Biol.
Advances in Fuzzy Systems;Adv. Fuzzy Syst.
Advances in Genetics;Adv. Genet.
ADVANCES IN GEOMETRY;Adv. Geom.
Advances in Geophysics;Adv. Geophys.
Advances in Gerontology;Adv. Gerontol.
Advances in Group Theory and Applications;Adv. Group Theory Appl.
ADVANCES IN HEALTH SCIENCES EDUCATION;Adv. Health Sci. Educ.
Advances in Heterocyclic Chemistry;Adv. Heterocycl. Chem.
Advances in High Energy Physics;Adv. High. Energy Phys.
Advances in Hospitality and Tourism Research-AHTR;Adv. Hosp. Tour. Res.-AHTR
Advances in Human Biology;Adv. Hum. Biol.
Advances in Human-Computer Interaction;Adv. Hum-Comput. Interact.
Advances in Immunology;Adv.Immunol.
Advances in Inorganic Chemistry;Adv. Inorg. Chem.
Advances in Insect Physiology;Adv. Insect Physiol.
Advances in Integrative Medicine;Adv. Integr. Med.
Advances in Life Course Research;Adv. Life Course Res.
Advances in Manufacturing;Adv. Manuf.
Advances in Marine Biology;Adv. Mar. Biol.
Advances in Materials and Processing Technologies;Adv. Mater. Process. Technol.
Advances in Materials Research-An International Journal;Adv. Mater. Res.
Advances in Materials Science;Adv. Mater. Sci.
Advances in Materials Science and Engineering;Adv. Mater. Sci. Eng.
Advances in Mathematical Physics;Adv. Math. Phys.
ADVANCES IN MATHEMATICS;Adv. Math.
Advances in Mathematics of Communications;Adv. Math. Commun.
Advances in Mechanical Engineering;Adv. Mech. Eng.
Advances in Medical Education and Practice;Adv. Med. Educ. Pract.
Advances in Medical Sciences;Adv. Med. Sci.
Advances in Mental Health;Adv. Ment. Health
Advances in Mental Health and Intellectual Disabilities;Adv. Ment. Health Intellet. Disabil.
Advances in Meteorology;Adv. Meteorol.
Advances in Microbial Physiology;Adv.Microb.Physiol.
Advances in Multimedia;Adv. Multimed.
Advances in Nano Research;Adv. Nano Res.
Advances in Neonatal Care;Adv. Neonatal Care
Advances in Nonlinear Analysis;Adv. Nonlinear Anal.
ADVANCES IN NURSING SCIENCE;Adv. Nurs. Sci.
Advances in Nutrition;Adv. Nutr.
Advances in Operations Research;Adv. Oper. Res.
Advances in Operator Theory;Adv. Oper. Theory
Advances in Optics and Photonics;Adv. Opt. Photonics
Advances in OptoElectronics;Adv. OptoElectron.
Advances in Organometallic Chemistry;Adv. Organometal. Chem.
Advances in Orthopedics;Adv. Orthop.
Advances in Parasitology;Adv.Parasitol.
Advances in Pharmacological and Pharmaceutical Sciences;Adv. Pharm. Pharm. Sci.
Advances in Pharmacological Sciences;Adv. Pharmacol. Sci.
Advances in Pharmacology and Pharmacy;Adv. Pharmacol. Pharm.
Advances in Physical Organic Chemistry;Adv. Phys. Organ. Chem.
ADVANCES IN PHYSICS;Adv. Phys.
Advances in Physics-X;Adv. Phys.-X
ADVANCES IN PHYSIOLOGY EDUCATION;Adv. Physiol. Educ.
ADVANCES IN POLYMER TECHNOLOGY;Adv. Polym. Technol.
Advances in Production Engineering & Management;Adv. Prod. Eng. Manag.
Advances in Protein Chemistry and Structural Biology;Adv. Protein Chem. Struct. Biol.
Advances in Pure and Applied Mathematics;Adv. Pure Appl. Math.
Advances in Quantum Chemistry;Adv. Quantum Chem.
Advances in Radio Science;Adv. Radio Sci.
Advances in Respiratory Medicine;Adv. Respir. Med.
Advances in Rheumatology;Adv. Rheumatol.
Advances in Skin & Wound Care;Adv. Skin Wound Care
ADVANCES IN SPACE RESEARCH;Adv. Space Res.
Advances in Strategic Management-A Research Annual;Adv. Strat. M.
ADVANCES IN STRUCTURAL ENGINEERING;Adv. Struct. Eng.
Advances in the Study of Behavior;Advan. Study Behav.
Advances in Theoretical and Mathematical Physics;Adv. Theor. Math. Phys.
ADVANCES IN THERAPY;Adv. Ther.
Advances in Traditional Medicine;Adv. Tradit. Med.
Advances in Tribology;Adv. Tribol.
Advances in Urology;Adv. Urol.
Advances in Virology;Adv. Virol.
Advances in Virus Research;Adv.Virus Res.
ADVANCES IN WATER RESOURCES;Adv. Water Resour.
Advances in Wound Care;Adv. Wound Care
Aedos-Revista do Corpo Discente do Programa de Pos-Graduacao em Historia da UFRGS;Aedos
Aeolian Research;Aeolian Res.
Aequationes Mathematicae;Aequ. Math.
AERA Open;AERA Open
AEROBIOLOGIA;Aerobiologia
AERONAUTICAL JOURNAL;Aeronaut. J.
Aerosol and Air Quality Research;Aerosol Air Qual. Res.
AEROSOL SCIENCE AND TECHNOLOGY;Aerosol Sci. Technol.
Aerospace;Aerospace
AEROSPACE AMERICA;Aerosp. Am.
Aerospace Medicine and Human Performance;Aerosp. Med.Hum. Perform.
Aerospace Research in Bulgaria;Aerosp. Res. Bulg.
AEROSPACE SCIENCE AND TECHNOLOGY;Aerosp. Sci. Technol.
AESTHETIC PLASTIC SURGERY;Aesthet. Plast. Surg.
Aesthetic Surgery Journal;Aesthet. Surg. J.
Aestimum;Aestimum
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS;AEU-Int. J. Electron. Commun.
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE;Aev.-Rass. Sci. Stor. Linguist. Filol.
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK;Affil. J. Women Soc. Work
Afghanistan;Afghanistan
AFINIDAD;Afinidad
Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought;Afkar
AFRICA;Africa
Africa Education Review;Afr. Educ. Rev.
Africa Review;Afr. Rev. Abingdon
Africa Spectrum;Afr. Spectr.
AFRICAN AFFAIRS;Afr. Aff.
AFRICAN AMERICAN REVIEW;Afr. Am. Rev.
African and Asian Studies;Afr. Asian Stud.
African Archaeological Review;Afr. Archaeol. Rev.
AFRICAN ARTS;Afr. Arts
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT;Afr. Dev. Rev.
African Diaspora;Afr. Diaspora
African Disability Rights Yearbook;Afr. Disabil. Rights Yearb.
AFRICAN ECONOMIC HISTORY;Afr. Econ. Hist.
AFRICAN ENTOMOLOGY;Afr. Entomol.
African Geographical Review;Afr. Geogr. Rev.
African Health Sciences;Afr. Health Sci.
African Historical Review;Afr. Hist. Rev.
AFRICAN INVERTEBRATES;Afr. Invertebr.
African Journal of Accounting Auditing and Finance;Afr. J. Account. Audit. Financ.
African Journal of Agricultural and Resource Economics-AFJARE;Afr. J. Agric. Resour. Econ.-AFJARE
AFRICAN JOURNAL OF AQUATIC SCIENCE;Afr. J. Aquat. Sci.
African Journal of Business Ethics;Afr. J. Bus. Ethics
African Journal of Disability;Afr. J. Disabil.
AFRICAN JOURNAL OF ECOLOGY;Afr. J. Ecol.
African Journal of Economic and Management Studies;Afr. J. Econ. Manag. Stud.
African Journal of Emergency Medicine;Afr. J. Emerg. Med.
African Journal of Health Professions Education;Afr. J. Health Prof. Education
AFRICAN JOURNAL OF HERPETOLOGY;Afr. J. Herpetol.
African Journal of Information Systems;Afr. J. Inf. Syst.
African Journal of International and Comparative Law;Afr. J. Int. Comp. Law
African Journal of Laboratory Medicine;Afr. J. Lab. Med.
African Journal of Legal Studies;Afr. J. Leg. Stud.
African Journal of Library Archives and Information Science;Afr. J. Libr. Archiv. Inf. Sci.
AFRICAN JOURNAL OF MARINE SCIENCE;Afr. J. Mar. Sci.
African Journal of Neurological Sciences;Afr. J. Neurol. Sci.
African Journal of Nursing and Midwifery;Afr. J. Nurs. Midwifery
African Journal of Primary Health Care & Family Medicine;Afr. J. Prim. Health Care Fam. Med.
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE;Afr. J. Range Forage Sci.
African Journal of Reproductive Health;Afr. J. Reprod. Health
African Journal of Research in Mathematics Science and Technology Education;Afr. J. Res. Math. Sci. Technol. Educ.
African Journal of Respiratory Medicine;Afr. J. Respir. Med.
African Journal of Rhetoric;Afr. J. Rhetor.
African Journal of Science Technology Innovation & Development;Afr. J. Sci. Technol. Innov. Dev.
African Journal of Urology;Afr. J. Urol.
African Journal of Wildlife Research;Afr. J. Wildl. Res.
African Journal on Conflict Resolution;Afr. J. Confl. Resolution
African Journalism Studies;Afr. Journal. Stud.
African Review of Physics;Afr. Rev. Phys.
African Safety Promotion;Afr. Saf. Promot.
African Security;Afr. Secur.
African Security Review;Afr. Secur. Rev.
African Sociological Review;Afr. Sociol. Rev.
AFRICAN STUDIES;Afr. Stud.
African Studies Review;Afr. Stud. Rev.
African Vision and Eye Health Journal;Afr. Vis. Eye Health J.
AFRICAN ZOOLOGY;Afr. Zool.
Africana Linguistica;Afr. Linguist.
Afrika Matematika;Afr. Mat.
Afriques-Debats Methodes et Terrains d Histoire;Afriques
Afterall;Afterall
Agathos-An International Review of the Humanities and Social Sciences;Agathos
AGE AND AGEING;Age Ageing
Age of Human Rights Journal;Age Hum. Rights J.
AGEING & SOCIETY;Ageing Soc.
Ageing International;Ageing Int.
AGEING RESEARCH REVIEWS;Ageing Res. Rev.
AGENDA;Agenda
Agenda-A Journal of Policy Analysis and Reform;Agenda
Agenda-Empowering Women for Gender Equity;Agenda-Empower. Women Gend. Equity
Ager-Revista de Estudios sobre Despoblacion y Desarrollo Rural;Ager
AGGRESSION AND VIOLENT BEHAVIOR;Aggress. Violent Behav.
AGGRESSIVE BEHAVIOR;Aggressive Behav.
AGING & MENTAL HEALTH;Aging Ment. Health
Aging and Disease;Aging Dis.
AGING CELL;Aging Cell
AGING CLINICAL AND EXPERIMENTAL RESEARCH;Aging Clin. Exp. Res.
Aging Male;Aging Male
Aging Medicine and Healthcare;Aging Med. Healthcare
AGING NEUROPSYCHOLOGY AND COGNITION;Aging Neuropsychol. Cogn.
Aging-US;Aging-US
Agora para la Educacion Fisica y el Deporte;Agora Educ. Fis. Deport.
Agora-Estudos Classicos em Debate;Agora-Estud. Class. Debate
Agora-Papeles de Filosofia;Agora-Pap. Filos.
Agrarforschung Schweiz;Agrarforschung Schweiz
Agrekon;Agrekon
Agri-The Journal of the Turkish Society of Algology;Agri
Agribusiness;Agribusiness
Agricultura Sociedad y Desarrollo;Agric. Soc. Desarro.
Agricultural & Environmental Letters;Agric. Env. Lett.
AGRICULTURAL AND FOOD SCIENCE;Agr. Food Sci.
AGRICULTURAL AND FOREST ENTOMOLOGY;Agric. For. Entomol.
AGRICULTURAL AND FOREST METEOROLOGY;Agric. For. Meteorol.
Agricultural and Resource Economics Review;Agric. Resour. Econ. Rev.
Agricultural and Resource Economics-International Scientific E-Journal;Agric. Resour. Econ.: Int. Sci. E-J
AGRICULTURAL ECONOMICS;Agric. Econ.
Agricultural Economics-Zemedelska Ekonomika;Agric. Econ.
Agricultural Finance Review;Agric. Finance Rev.
AGRICULTURAL HISTORY;Agric. Hist.
AGRICULTURAL HISTORY REVIEW;Agr. Hist. Rev.
AGRICULTURAL RESEARCH;Agric. Res.
Agricultural Science and Practice;Agr. Sci. Pract.
AGRICULTURAL SYSTEMS;Agric. Syst.
AGRICULTURAL WATER MANAGEMENT;Agric. Water Manage.
AGRICULTURE AND HUMAN VALUES;Agric. Human Values
AGRICULTURE ECOSYSTEMS & ENVIRONMENT;Agric. Ecosyst. Environ.
Agriculture-Basel;Agriculture-Basel
Agrisost;Agrisost
Agritech;Agritech
Agrivita;Agrivita
AGROCHIMICA;Agrochimica
AGROCIENCIA;Agrociencia
Agrociencia-Uruguay;Agrocienc.-Urug.
Agroecology and Sustainable Food Systems;Agroecol. Sustain. Food Syst.
AGROFORESTRY SYSTEMS;Agrofor. Syst.
Agroindustria Sociedad y Ambiente ASA;AGROIND. SOC. AMBIENT. ASA
AgroLife Scientific Journal;AgroLife Sci. J.
AGRONOMIA MESOAMERICANA;Agron. Mesoam.
Agronomy for Sustainable Development;Agron. Sustain. Dev.
AGRONOMY JOURNAL;Agron. J.
Agronomy-Basel;Agronomy-Basel
Agua y Territorio;AQUA TERRIT.
AI & Society;AI Soc.
AI COMMUNICATIONS;AI Commun.
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;AI EDAM-Artif. Intell. Eng. Des. Anal. Manuf.
AI MAGAZINE;AI Mag.
AIAA JOURNAL;AIAA J.
AIB Studi;AIB Stud.
AIBR-Revista de Antropologia Iberoamericana;AIBR-Rev. Antropol. Iberoam.
AICHE JOURNAL;AICHE J.
AIDS;Aids
AIDS AND BEHAVIOR;AIDS Behav.
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV;Aids Care-Psychol. Socio-Med. Asp. Aids-Hiv
AIDS EDUCATION AND PREVENTION;Aids Educ. Prev.
AIDS PATIENT CARE AND STDS;Aids Patient Care STDS
AIDS RESEARCH AND HUMAN RETROVIRUSES;Aids Res. Hum. Retrovir.
AIDS Research and Therapy;Aids Res. Ther.
AIDS Research and Treatment;AIDS Res. Treat.
AIDS REVIEWS;Aids Rev.
AILA Review;AILA Rev.
AIMS Agriculture and Food;AIMS AGRIC. FOOD
AIMS Allergy and Immunology;AIMS Allergy Immunol.
AIMS Bioengineering;AIMS Bioeng.
AIMS Biophysics;AIMS Biophys.
AIMS Energy;AIMS Energy
AIMS Environmental Science;AIMS Environ. Sci.
AIMS Genetics;AIMS Genet.
AIMS Geosciences;AIMS Geosci.
AIMS Materials Science;AIMS Mater. Sci.
AIMS Mathematics;AIMS Math.
AIMS Medical Science;AIMS Med. Sci.
AIMS Microbiology;AIMS Microbiol.
AIMS Molecular Science;AIMS Mol. Sci.
AIMS Neuroscience;AIMS Neurosci.
AIMS Public Health;AIMS Public Health
Ain Shams Engineering Journal;Ain Shams Eng. J.
Ain Shams Journal of Anesthesiology;Ain Shams J. Anesthesiol.
AIP Advances;AIP Adv.
Air & Space Law;Air Space Law
Air Quality Atmosphere and Health;Air Qual. Atmos. Health
Air Soil and Water Research;Air Soil Water Res.
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY;Aircr. Eng. Aerosp. Technol.
Aisthema-International Journal;Aisthema
Aisthesis-Pratiche Linguaggi e Saperi dell Estetico;Aisthesis
Aitia-Regards sur la Culture Hellenistique au XXIe Siecle;Aitia
Ajalooline Ajakiri-The Estonian Historical Journal;Ajalooline Ajak.
AJAR-African Journal of AIDS Research;AJAR-Afr. J. Aids Res.
AJIDD-American Journal on Intellectual and Developmental Disabilities;AJIDD-Am. J. Intellect. Dev. Disabil.
AJP Reports;AJP Rep.
AJS Review-The Journal of the Association for Jewish Studies;AJS Rev.
AJSP-Reviews and Reports;AJSP-Rev. Rep.
AKADEMIKA;AKAD.
AKCE International Journal of Graphs and Combinatorics;AKCE Int. J. Graphs Comb.
Akkadica;Akkadica
Akroterion-Journal for the Classics in South Africa;Akroterion
Aktualni Gynekologie a Porodnictvi;Aktualni Gynekol. Porod.
Aktualnosci Neurologiczne;Aktual. Neurol.
AKTUELLE DERMATOLOGIE;Aktuel. Dermatol.
AKTUELLE ERNAHRUNGSMEDIZIN;Aktuel. Ernahrungsmed.
Aktuelle Kardiologie;Aktuelle Kardiol.
AKTUELLE RHEUMATOLOGIE;Aktuelle Rheumatol.
AKTUELLE UROLOGIE;Aktuelle Urol.
Akustika;Akustika
AKZENTE-ZEITSCHRIFT FUR LITERATUR;Akzente-Z. Lit.
Al-Arabiyya-Journal of the American Association of Teachers of Arabic;Al-Arabiyya
Al-Bayan-Journal of Quran and Hadith Studies;Al-Bayan
Al-Jamiah-Journal of Islamic Studies;al-Jamiah
Al-Masaq-Journal of the Medieval Mediterranean;Al-Masaq
AL-QANTARA;Al-Qantara
Al-Shajarah;Al-Shajarah
Alabe-Revista de Investigacion sobre Lectura y Escritura;Alabe
ALBERTA LAW REVIEW;Alta. Law Rev.
ALCHERINGA;Alcheringa
ALCOHOL;Alcohol
ALCOHOL AND ALCOHOLISM;Alcohol Alcohol.
Alcohol Research-Current Reviews;Alcohol Res.-Curr. Rev.
Alcoholism Treatment Quarterly;Alcohol. Treat. Q.
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH;Alcoholism (NY)
ALDRICHIMICA ACTA;Aldrichimica Acta
Alea-Estudos Neolatinos;Alea-Estud. Neolat.
ALEA-Latin American Journal of Probability and Mathematical Statistics;ALEA-Latin Am. J. Probab. Math. Stat.
Aleph-Historical Studies in Science & Judaism;Aleph-Hist. Stud. Sci. Jud.
Alergia Astma Immunologia;Alerg. Astma Immunol.
Alergologia Polska-Polish Journal of Allergology;Alergol. Pol.
Alexandria Engineering Journal;Alex. Eng. J.
Alexandria Journal of Medicine;Alex. J. Med.
ALGAE;Algae
Algal Research-Biomass Biofuels and Bioproducts;Algal Res.
Algebra & Discrete Mathematics;Algebra Discret. Math.
Algebra & Number Theory;Algebr. Number Theory
Algebra and Logic;Algebr. Log.
ALGEBRA COLLOQUIUM;Algebr. Colloq.
ALGEBRA UNIVERSALIS;Algebr. Universalis
Algebraic and Geometric Topology;Algebr. Geom. Topol.
Algebraic Geometry;Algebraic Geom.
ALGEBRAS AND REPRESENTATION THEORY;Algebr. Represent. Theory
Algorithmic Finance;Algorithmic Financ.
ALGORITHMICA;Algorithmica
Algorithms;Algorithms
Algorithms for Molecular Biology;Algorithms. Mol. Biol.
ALIMENTARY PHARMACOLOGY & THERAPEUTICS;Aliment. Pharmacol. Ther.
Alinteri Journal of Agriculture Sciences;Alinteri J. Agric. Sci.
Alkoholizm i Narkomania-Alchoholism and Drug Addition;Alkohol. Narkom.
All Azimuth-A Journal of Foreign Policy and Peace;All Azimuth
All Life;All Life
ALLELOPATHY JOURNAL;Allelopathy J.
Allergo Journal;Allergo J.
ALLERGOLOGIA ET IMMUNOPATHOLOGIA;Allergol. Immunopath.
ALLERGOLOGIE;Allergologie
ALLERGOLOGY INTERNATIONAL;Allergol. Int.
ALLERGY;Allergy
Allergy & Rhinology;Allergy Rhinol.
ALLERGY AND ASTHMA PROCEEDINGS;Allergy Asthma Proc.
Allergy Asthma & Immunology Research;Allergy Asthma Immunol. Res.
Allergy Asthma & Respiratory Disease;Allergy Asthma Respir. Dis.
Allergy Asthma and Clinical Immunology;Allerg Asthma Clin. Immunol.
Allgemeine Zeitschrift fur Philosophie;Allg. Z. Philos.
Almatourism-Journal of Tourism Culture and Territorial Development;Almatourism
Aloma-Revista de Psicologia Ciencies de l Educacio i de l Esport;Aloma
Alpha-Revista de Artes Letras y Filosofia;Alpha-Rev. Artes Let. Filos.
Alpine Botany;Alp. Bot.
Alpine Entomology;Alp. Entomol.
ALSIC-Apprentissage des Langues et Systems d Information et de Communication;ALSIC-Apprentiss. Langues Syst. Inf. Commun.
Alter-European Journal of Disability Research;Alter
Alteridad-Revista de Educacion;Alteridad
Alternative Law Journal;Altern. Law J.
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE;Altern. Ther. Health Med.
Alternative-An International Journal of Indigenous Peoples;Alternative
ALTERNATIVES;Alternatives
ALTEX-Alternatives to Animal Experimentation;ALTEX-Altern. Anim. Exp.
Altre Modernita-Rivista di Studi Letterari e Culturali;Altre Mod.-Riv. Stud. Lett. Cult.
ALZHEIMER DISEASE & ASSOCIATED DISORDERS;Alzheimer Dis. Assoc. Dis.
Alzheimers & Dementia;Alzheimers. Dement.
Alzheimers Research & Therapy;Alzheimers Res. Ther.
AM Journal of Art and Media Studies;Am. J. Art Media Stud.
AMA-Agricultural Mechanization in Asia Africa and Latin America;AMA-Agric. Mech. Asia Afr. Lat. A.
Amaltea-Revista de MitocrItica;Amaltea
Amazonia Investiga;AMAZON. INVESTIG.
AMB Express;AMB Express
Ambient Science;Ambient Sci.
Ambiente y Desarollo;Ambiente Desarro.
AMBIO;Ambio
Ambitos-Revista de Estudios de Ciencias Sociales y Humanidades;AMBITOS
Ambix;Ambix
AMEGHINIANA;Ameghiniana
AMERASIA JOURNAL;Amerasia J.
America Latina Hoy-Revista de Ciencias Sociales;Am. Lat. Hoy
America sin Nombre;Am. Nr.
AMERICAN ANNALS OF THE DEAF;Am. Ann. Deaf
AMERICAN ANTHROPOLOGIST;Am. Anthropol.
AMERICAN ANTIQUITY;Am. Antiq.
American Art;Am. Art
AMERICAN BANKRUPTCY LAW JOURNAL;Am. Bankruptcy Law J.
AMERICAN BEHAVIORAL SCIENTIST;Am. Behav. Sci.
AMERICAN BIOLOGY TEACHER;Am. Biol. Teach.
AMERICAN BOOK REVIEW;Am. Book Rev.
AMERICAN BUSINESS LAW JOURNAL;Am. Bus. Law J.
AMERICAN CATHOLIC PHILOSOPHICAL QUARTERLY;Am. Cath. Philos. Q.
AMERICAN CERAMIC SOCIETY BULLETIN;Am. Ceram. Soc. Bull.
AMERICAN CRIMINAL LAW REVIEW;Am. Crim. Law Rev.
American Economic Journal-Applied Economics;Am. Econ. J.-Appl. Econ.
American Economic Journal-Economic Policy;Am. Econ. J.-Econ. Policy
American Economic Journal-Macroeconomics;Am. Econ. J.-Macroecon.
American Economic Journal-Microeconomics;Am. Econ. J.-Microecon.
AMERICAN ECONOMIC REVIEW;Am. Econ. Rev.
AMERICAN EDUCATIONAL RESEARCH JOURNAL;Am. Educ. Res. J.
AMERICAN ETHNOLOGIST;Am. Ethnol.
AMERICAN FAMILY PHYSICIAN;Am. Fam. Physician
AMERICAN FERN JOURNAL;Am. Fern J.
American Health and Drug Benefits;Am. Health Drug Benefits
AMERICAN HEART JOURNAL;Am. Heart J.
